,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Team 1,Team 7,Team 14,Team 6,Team 5,Team 8,Team 9,Team 3,Team 7,Team 13,Team 4,Team 12,Team 5,Team 3,Team 2,Team 10,Team 6,Team 11,Team 4,Team 2
Team 2,Team 4,Team 6,Team 9,Team 7,Team 12,Team 5,Team 8,Team 13,Team 4,Team 6,Team 3,Team 14,Team 10,Team 1,Team 11,Team 5,Team 3,Team 7,Team 1
Team 3,Team 6,Team 8,Team 5,Team 12,Team 4,Team 13,Team 1,Team 5,Team 7,Team 11,Team 2,Team 6,Team 1,Team 7,Team 14,Team 4,Team 2,Team 9,Team 10
Team 4,Team 2,Team 10,Team 8,Team 11,Team 3,Team 6,Team 5,Team 14,Team 2,Team 1,Team 7,Team 9,Team 6,Team 12,Team 13,Team 3,Team 5,Team 1,Team 7
Team 5,Team 10,Team 12,Team 3,Team 1,Team 13,Team 2,Team 4,Team 3,Team 6,Team 7,Team 14,Team 1,Team 8,Team 6,Team 7,Team 2,Team 4,Team 11,Team 9
Team 6,Team 3,Team 2,Team 1,Team 13,Team 11,Team 4,Team 7,Team 10,Team 5,Team 2,Team 9,Team 3,Team 4,Team 5,Team 8,Team 1,Team 7,Team 14,Team 12
Team 7,Team 1,Team 11,Team 10,Team 2,Team 9,Team 14,Team 6,Team 1,Team 3,Team 5,Team 4,Team 12,Team 13,Team 3,Team 5,Team 8,Team 6,Team 2,Team 4
Team 8,Team 13,Team 3,Team 4,Team 10,Team 1,Team 11,Team 2,Team 12,Team 9,Team 13,Team 11,Team 10,Team 5,Team 14,Team 6,Team 7,Team 9,Team 12,Team 14
Team 9,Team 11,Team 13,Team 2,Team 14,Team 7,Team 1,Team 10,Team 11,Team 8,Team 12,Team 6,Team 4,Team 14,Team 13,Team 12,Team 10,Team 8,Team 3,Team 5
Team 10,Team 5,Team 4,Team 7,Team 8,Team 14,Team 12,Team 9,Team 6,Team 11,Team 14,Team 13,Team 8,Team 2,Team 11,Team 1,Team 9,Team 12,Team 13,Team 3
Team 11,Team 9,Team 7,Team 12,Team 4,Team 6,Team 8,Team 14,Team 9,Team 10,Team 3,Team 8,Team 13,Team 12,Team 10,Team 2,Team 14,Team 1,Team 5,Team 13
Team 12,Team 14,Team 5,Team 11,Team 3,Team 2,Team 10,Team 13,Team 8,Team 14,Team 9,Team 1,Team 7,Team 11,Team 4,Team 9,Team 13,Team 10,Team 8,Team 6
Team 13,Team 8,Team 9,Team 14,Team 6,Team 5,Team 3,Team 12,Team 2,Team 1,Team 8,Team 10,Team 11,Team 7,Team 9,Team 4,Team 12,Team 14,Team 10,Team 11
Team 14,Team 12,Team 1,Team 13,Team 9,Team 10,Team 7,Team 11,Team 4,Team 12,Team 10,Team 5,Team 2,Team 9,Team 8,Team 3,Team 11,Team 13,Team 6,Team 8
