,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Team 1,Team 4,Team 6,Team 2,Team 11,Team 10,Team 3,Team 9,Team 12,Team 8,Team 5,Team 7,Team 3,Team 2,Team 4
Team 2,Team 12,Team 10,Team 1,Team 8,Team 11,Team 9,Team 7,Team 4,Team 6,Team 3,Team 5,Team 4,Team 1,Team 3
Team 3,Team 6,Team 9,Team 12,Team 7,Team 4,Team 1,Team 5,Team 8,Team 11,Team 2,Team 10,Team 1,Team 4,Team 2
Team 4,Team 1,Team 11,Team 7,Team 6,Team 3,Team 8,Team 10,Team 2,Team 5,Team 12,Team 9,Team 2,Team 3,Team 1
Team 5,Team 11,Team 8,Team 10,Team 12,Team 9,Team 6,Team 3,Team 7,Team 4,Team 1,Team 2,Team 7,Team 8,Team 6
Team 6,Team 3,Team 1,Team 11,Team 4,Team 7,Team 5,Team 8,Team 9,Team 2,Team 10,Team 12,Team 8,Team 7,Team 5
Team 7,Team 9,Team 12,Team 4,Team 3,Team 6,Team 11,Team 2,Team 5,Team 10,Team 8,Team 1,Team 5,Team 6,Team 8
Team 8,Team 10,Team 5,Team 9,Team 2,Team 12,Team 4,Team 6,Team 3,Team 1,Team 7,Team 11,Team 6,Team 5,Team 7
Team 9,Team 7,Team 3,Team 8,Team 10,Team 5,Team 2,Team 1,Team 6,Team 12,Team 11,Team 4,Team 10,Team 11,Team 12
Team 10,Team 8,Team 2,Team 5,Team 9,Team 1,Team 12,Team 4,Team 11,Team 7,Team 6,Team 3,Team 9,Team 12,Team 11
Team 11,Team 5,Team 4,Team 6,Team 1,Team 2,Team 7,Team 12,Team 10,Team 3,Team 9,Team 8,Team 12,Team 9,Team 10
Team 12,Team 2,Team 7,Team 3,Team 5,Team 8,Team 10,Team 11,Team 1,Team 9,Team 4,Team 6,Team 11,Team 10,Team 9
